job_name,company_name,company_url,salary,location,job_description
C#軟體工程師,泛太資訊科技開發股份有限公司,(空),待遇面議,台北市大安區光復南路102號7樓,- 熟悉C#、.NET 、ASP.Net -依據系統需求規格進行程式設計與開發 -使用 C# 語言開發應用程式…
[NB]軟體品保工程師(士林),Inventec_英業達股份有限公司,(空),待遇面議,台北市士林區後港街66號,1.軟體測試規劃、建立測試環境與執行產品測試。 2.負責產品相容性及整合測試。 3.協助問題分析、追蹤及驗證。…
測試人員-實習/工讀 (中興新村南投高等研究園區),Allion_百佳泰股份有限公司,(空),"月薪29,500元取得專屬你的薪水報告",南投縣南投市中興路9號(中興新村南投高等研究園區),1. 電腦整合測試。 2. 系統維護操作。 3. 歡迎對電子產品有興趣者。
網管與雲端專員,億光電子工業股份有限公司,(空),待遇面議,新北市樹林區中華路6-8號,1.企業網路問題的排除。 2.資訊機房的維護與備份系統管理。 3.Windows AD管理。 4.內部資安協作…
專案管理師｜AI技能 + 專案歷練一次到位,DC數位溝通整合行銷_傳旭科技股份有限公司,(空),"月薪43,000元以上取得專屬你的薪水報告",台北市松山區復興北路311號12樓,想要的不只是工作，而是能讓你持續進步的舞台？  在傳旭，我們讓專案管理不只停留在「控管進度」，而是透過 AI技…
研發替代役-軟體工程師,凌群電腦股份有限公司,(空),"月薪37,000元以上取得專屬你的薪水報告",台北市萬華區峨眉街115號6樓,軟體開發與設計、架構設計、資料設計、系統整合、軟體產品研發、技術管理、專案管理  ※薪資依學經歷敘薪
